model_name,price,url_media
Elantra,"$22,000.00",https://noticias.coches.com/wp-content/uploads/2019/07/hyundai_elantra-value-edition-2015-16_r27.jpg
Sonata,"$25,000.00",https://acnews.blob.core.windows.net/imgnews/large/NAZ_c68b0bef115b4cdc97a613bbf32e82c4.jpg
Santa Fe,"$19,000.00",https://www.hyundai.cl/content/uploads/santa-fe-azul-oscuro-1.png
Tucson,"$21,000.00",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoTunxOfE-4BpRg38-manU9sx1_iuGU0BR2Q&s
Accent,"$24,000.00",https://cdn.buttercms.com/3xKKRqThS3ihTPYmpawD
Kona,"$17,000.00",https://acroadtrip.blob.core.windows.net/catalogo-imagenes/xl/RT_V_2e68b51d34124132850ed100cde9723f.jpg
Palisade,"$19,000.00",https://s7d1.scene7.com/is/image/hyundai/2023-palisade-calligraphy-sierra-burgundy:16-9?wid=640&hei=360&fmt=webp-alpha
Veloster,"$19,000.00",https://www.hyundai.com.ar/publicfiles/model_pics/bffe6817fdf640d31aaaddb0da934721.png
Ioniq,"$24,000.00",https://www.hyundai.cl/content/uploads/ne-de-giw5ycz7zhh211-c5g-52910gi210-ext-frame-0000-1.png
Venue,"$17,000.00",https://imgd.aeplcdn.com/1280x720/cw/ec/35455/Hyundai-Venue-Right-Front-Three-Quarter-157521.jpg?wm=0&q=80
Clio,"$22,000.00",https://i0.wp.com/autoaldia.tv/wp-content/uploads/2015/07/Nuevo-Renault-Clio-Work-2.jpg?ssl=1
Megane,"$16,000.00",https://acnews.blob.core.windows.net/imgnews/medium/NAZ_4803bed307264026a5dd88c590093959.jpg
Captur,"$21,000.00",https://www.karvi.com.ar/_next/image/?url=https%3A%2F%2Fdjdnloyvqzzd3.cloudfront.net%2Fstatic%2Fgallery%2Far%2Fdesktop%2Frenault_captur_plano_detalle.jpg&w=1440&q=90
Koleos,"$21,000.00",https://acroadtrip.blob.core.windows.net/catalogo-imagenes/xl/RT_V_dc49f39d84294e8d8baf293375ecff6d.webp
Kadjar,"$21,000.00",https://www.megautos.com/wp-content/uploads/2018/10/Renault-Kadjar-2019-delantera.jpg
Duster,"$16,000.00",https://www.carone.com.ar/wp-content/uploads/2021/09/renault-2022-duster.png
