model_name,variations,,,
Elantra,"""Elentra"", ""Ealantra"", ""Elanrta"", ""Elantraa"", ""Elantrra""",,,
Sonata,"""Sonatta"", ""Sonataa"", ""Sonnata"", ""Sonatae"", ""Sonatea""",,,
Santa Fe,"""SantaFe"", ""Santafe"", ""Senta Fe"", ""Santa Fee"", ""Sante Fe""",,,
Tucson,"""Tucscon"", ""Tucsan"", ""Tuscon"", ""Tucsoon"", ""Tucsaan""",,,
Accent,"""Acent"", ""Acccent"", ""Acceent"", ""Accennt"", ""Acennt""",,,
Kona,"""Konna"", ""Konnaa"", ""Konna"", ""Koona"", ""Konna""",,,
Palisade,"""Palasade"", ""Pallisade"", ""Palisad"", ""Palisdae"", ""Palissade""",,,
Veloster,"""Veloster"", ""Veloster"", ""Veloster"", ""Veloster"", ""Veloster""",,,
Ioniq,"""Ionik"", ""Ioniqq"", ""Ioniik"", ""Ioniqe"", ""Ionique""",,,
Venue,"""Venu"", ""Vennue"", ""Venoo"", ""Venieu"", ""Venuw""",,,
Clio,"""Cleo"", ""Cliio"", ""Clioo"", ""Clii"", ""Clioe""",,,
Megane,"""Meganne"", ""Meganee"", ""Megane"", ""Megne"", ""Meggane""",,,
Captur,"""Capture"", ""Capturr"", ""Captur"", ""Cappur"", ""Capptur"", ""kaptur""",,,
Koleos,"""Kolos"", ""Koleoss"", ""Kolles"", ""Koleous"", ""Kollos""",,,
Kadjar,"""Kadger"", ""Kadjarr"", ""Kadjaar"", ""Kaddjar"", ""Kadger""",,,
Duster,"""Duster"", ""Dusterr"", ""Dustar"", ""Dusteer"", ""Dussterr""",,,
Talisman,"""Taliman"", ""Talismaan"", ""Talissman"", ""Tallisman"", ""Talismaan""",,,
Scenic,"""Sceanic"", ""Sceenic"", ""Scenik"", ""Scenicc"", ""Sscenic""",,,
Trafic,"""Traffic"", ""Traffik"", ""Traafic"", ""Traffiq"", ""Trafik""",,,
Zoe,"""Zoee"", ""Zoé"", ""Zzoe"", ""Zioe"", ""Zoei""",,,
Corolla,"""Corola"", ""Corrola"", ""Corrola"", ""Coroolla"", ""Corolla""",,,
Camry,"""Camrry"", ""Camre"", ""Camree"", ""Cammry"", ""Camryy""",,,
RAV4,"""RAV 4"", ""RA4V"", ""RAV-4"", ""RAVF4"", ""RV4""",,,
Highlander,"""Highlanderr"", ""Higlander"", ""Highlnder"", ""Highlander"", ""Higghlander""",,,
Prius,"""Priuss"", ""Priuus"", ""Pryus"", ""Prrius"", ""Priuus""",,,
Tacoma,"""Tacoma"", ""Taccomaa"", ""Tacoima"", ""Tacoma"", ""Taccma""",,,
4Runner,"""4 Runner"", ""Forrunner"", ""4Runer"", ""4Runnerr"", ""4Runer""",,,
Sienna,"""Sienaa"", ""Siennna"", ""Siennaa"", ""Siena"", ""Sienna""",,,
Yaris,"""Yarris"", ""Yariis"", ""Yaries"", ""Yarris"", ""Yaris""",,,
Land Cruiser,"""LandCruiser"", ""Land Cruser"", ""LandCruisser"", ""Lend Cruiser"", ""Landcruiser""",,,
Golf,"""Goolf"", ""Golff"", ""Golof"", ""Gollf"", ""Golf""",,,
Passat,"""Passsat"", ""Pasat"", ""Passaat"", ""Passat"", ""Passaat""",,,
Tiguan,"""Tiggun"", ""Tiguann"", ""Tiguun"", ""Tigguan"", ""Tiguann""",,,
Polo,"""Ploo"", ""Poloo"", ""Ppoloo"", ""Poll"", ""Polo""",,,
Jetta,"""Jetta"", ""Jett"", ""Jeeta"", ""Jettaa"", ""Jeta""",,,
Touareg,"""Toureg"", ""Touareg"", ""Touarrg"", ""Touareg"", ""Toaregg""",,,
Arteon,"""Arten"", ""Artreon"", ""Arteonn"", ""Artean"", ""Arteeon""",,,
Beetle,"""Beatle"", ""Beetl"", ""Bettle"", ""Beetle"", ""Beetlee""",,,
Atlas,"""Atlass"", ""Atlass"", ""Attlas"", ""Atlas"", ""Atllas""",,,
ID.4,"""ID 4"", ""ID4"", ""I.D.4"", ""I D 4"", ""ID. 4""",,,
A-Class,"""A Class"", ""A-Clas"", ""Aclass"", ""A-Claas"", ""AClas""",,,
C-Class,"""C Class"", ""C-Clas"", ""Cclass"", ""C-Claas"", ""CClas""",,,
E-Class,"""E Class"", ""E-Clas"", ""Eclass"", ""E-Claas"", ""EClas""",,,
S-Class,"""S Class"", ""S-Clas"", ""Sclass"", ""S-Claas"", ""SClas""",,,
GLA,"""GLAA"", ""G.L.A"", ""GLAA"", ""GL A"", ""GL-A""",,,
GLC,"""GLCC"", ""G.L.C"", ""GLC"", ""GL C"", ""GL-C""",,,
GLE,"""GLEE"", ""G.L.E"", ""GLEE"", ""GL E"", ""GL-E""",,,
GLS,"""GLSS"", ""G.L.S"", ""GLS"", ""GL S"", ""GL-S""",,,
CLA,"""CLAA"", ""C.L.A"", ""CLAA"", ""CL A"", ""CL-A""",,,
EQC,"""EQCC"", ""E.Q.C"", ""EQCC"", ""EQ C"", ""EQ-C""]",,,
